bank_txn_id,ledger_txn_id,amount_score,date_score,text_score,rule_fired,confidence,tier
TXN1031,TXN1032,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1105,TXN1107,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1111,TXN1112,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1025,TXN1026,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1023,TXN1024,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1021,TXN1022,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1102,TXN1103,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1099,TXN1100,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1003,TXN1004,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1029,TXN1030,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1041,TXN1042,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1009,TXN1010,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1001,TXN1002,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1005,TXN1006,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1011,TXN1012,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1007,TXN1008,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1027,TXN1028,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1037,TXN1038,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1035,TXN1036,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1019,TXN1020,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1015,TXN1016,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1033,TXN1034,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1017,TXN1018,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1013,TXN1014,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1108,TXN1109,1.0,1.0,1.0,EXACT_CONTENT_MATCH,1.0,AUTO_MATCH
TXN1061,TXN1062,1.0,0.875,1.0,MONEY_DATE_LOCK,1.0,AUTO_MATCH
TXN1079,TXN1080,1.0,1.0,1.0,MONEY_DATE_LOCK,1.0,AUTO_MATCH
TXN1059,TXN1060,1.0,0.875,1.0,MONEY_DATE_LOCK,1.0,AUTO_MATCH
TXN1075,TXN1076,1.0,1.0,1.0,MONEY_DATE_LOCK,1.0,AUTO_MATCH
TXN1051,TXN1052,1.0,1.0,1.0,MONEY_DATE_LOCK,1.0,AUTO_MATCH
TXN1069,TXN1070,1.0,0.75,1.0,TEXT_LOCK,1.0,AUTO_MATCH
TXN1047,TXN1048,1.0,1.0,1.0,MONEY_DATE_LOCK,1.0,AUTO_MATCH
TXN1073,TXN1074,0.998,1.0,1.0,MONEY_DATE_LOCK,1.0,AUTO_MATCH
TXN1083,TXN1084,1.0,1.0,1.0,MONEY_DATE_LOCK,1.0,AUTO_MATCH
TXN1063,TXN1064,1.0,0.75,1.0,TEXT_LOCK,1.0,AUTO_MATCH
TXN1081,TXN1082,1.0,1.0,1.0,MONEY_DATE_LOCK,1.0,AUTO_MATCH
TXN1077,TXN1078,1.0,1.0,1.0,MONEY_DATE_LOCK,1.0,AUTO_MATCH
TXN1085,TXN1086,1.0,1.0,1.0,MONEY_DATE_LOCK,1.0,AUTO_MATCH
TXN1039,TXN1040,1.0,1.0,1.0,MONEY_DATE_LOCK,1.0,AUTO_MATCH
TXN1071,TXN1072,1.0,0.75,1.0,TEXT_LOCK,1.0,AUTO_MATCH
TXN1053,TXN1054,1.0,1.0,0.912,MONEY_DATE_LOCK,0.991,AUTO_MATCH
TXN1049,TXN1050,1.0,1.0,0.756,MONEY_DATE_LOCK,0.976,AUTO_MATCH
TXN1092,TXN1110,0.984,0.875,0.679,MONEY_DATE_LOCK,0.968,AUTO_MATCH
TXN1045,TXN1046,1.0,1.0,0.629,MONEY_DATE_LOCK,0.963,AUTO_MATCH
TXN1130,TXN1131,1.0,1.0,0.524,MONEY_DATE_LOCK,0.952,AUTO_MATCH
TXN1128,TXN1129,1.0,1.0,0.522,MONEY_DATE_LOCK,0.952,AUTO_MATCH
TXN1043,TXN1044,1.0,1.0,0.5,MONEY_DATE_LOCK,0.95,AUTO_MATCH
TXN1055,TXN1056,1.0,1.0,0.486,MONEY_DATE_LOCK,0.949,AUTO_MATCH
TXN1126,TXN1127,1.0,1.0,0.455,MONEY_DATE_LOCK,0.945,AUTO_MATCH
TXN1132,TXN1133,1.0,1.0,0.449,MONEY_DATE_LOCK,0.945,AUTO_MATCH
TXN1057,TXN1101,0.999,0.875,0.4,MONEY_DATE_LOCK,0.94,AUTO_MATCH
TXN1134,TXN1135,1.0,1.0,0.391,MONEY_DATE_LOCK,0.939,AUTO_MATCH
TXN1067,TXN1068,1.0,0.625,1.0,WEIGHTED_FALLBACK,0.887,NEEDS_REVIEW
TXN1065,TXN1066,1.0,0.625,1.0,WEIGHTED_FALLBACK,0.887,NEEDS_REVIEW
TXN1087,TXN1098,0.925,1.0,0.462,WEIGHTED_FALLBACK,0.808,NEEDS_REVIEW
TXN1091,TXN1106,0.913,0.875,0.407,WEIGHTED_FALLBACK,0.75,NEEDS_REVIEW
