bank_txn_id,ledger_txn_id,category
TXN1001,TXN1002,EXACT_MATCH
TXN1003,TXN1004,EXACT_MATCH
TXN1005,TXN1006,EXACT_MATCH
TXN1007,TXN1008,EXACT_MATCH
TXN1009,TXN1010,EXACT_MATCH
TXN1011,TXN1012,EXACT_MATCH
TXN1013,TXN1014,EXACT_MATCH
TXN1015,TXN1016,EXACT_MATCH
TXN1017,TXN1018,EXACT_MATCH
TXN1019,TXN1020,EXACT_MATCH
TXN1021,TXN1022,EXACT_MATCH
TXN1023,TXN1024,EXACT_MATCH
TXN1025,TXN1026,EXACT_MATCH
TXN1027,TXN1028,EXACT_MATCH
TXN1029,TXN1030,EXACT_MATCH
TXN1031,TXN1032,EXACT_MATCH
TXN1033,TXN1034,EXACT_MATCH
TXN1035,TXN1036,EXACT_MATCH
TXN1037,TXN1038,TYPO_FORMATTING
TXN1039,TXN1040,TYPO_FORMATTING
TXN1041,TXN1042,TYPO_FORMATTING
TXN1043,TXN1044,TYPO_FORMATTING
TXN1045,TXN1046,TYPO_FORMATTING
TXN1047,TXN1048,TYPO_FORMATTING
TXN1049,TXN1050,TYPO_FORMATTING
TXN1051,TXN1052,TYPO_FORMATTING
TXN1053,TXN1054,TYPO_FORMATTING
TXN1055,TXN1056,TYPO_FORMATTING
TXN1057,TXN1058,DATE_DRIFT
TXN1059,TXN1060,DATE_DRIFT
TXN1061,TXN1062,DATE_DRIFT
TXN1063,TXN1064,DATE_DRIFT
TXN1065,TXN1066,DATE_DRIFT
TXN1067,TXN1068,DATE_DRIFT
TXN1069,TXN1070,DATE_DRIFT
TXN1071,TXN1072,DATE_DRIFT
TXN1073,TXN1074,AMOUNT_MISMATCH_MINOR
TXN1075,TXN1076,AMOUNT_MISMATCH_MINOR
TXN1077,TXN1078,AMOUNT_MISMATCH_MINOR
TXN1079,TXN1080,AMOUNT_MISMATCH_MINOR
TXN1081,TXN1082,AMOUNT_MISMATCH_MINOR
TXN1083,TXN1084,AMOUNT_MISMATCH_MINOR
TXN1085,TXN1086,AMOUNT_MISMATCH_MINOR
TXN1087,NONE,MISSING_FROM_LEDGER
TXN1088,NONE,MISSING_FROM_LEDGER
TXN1089,NONE,MISSING_FROM_LEDGER
TXN1090,NONE,MISSING_FROM_LEDGER
TXN1091,NONE,MISSING_FROM_LEDGER
TXN1092,NONE,MISSING_FROM_LEDGER
NONE,TXN1093,MISSING_FROM_BANK
NONE,TXN1094,MISSING_FROM_BANK
NONE,TXN1095,MISSING_FROM_BANK
NONE,TXN1096,MISSING_FROM_BANK
NONE,TXN1097,MISSING_FROM_BANK
NONE,TXN1098,MISSING_FROM_BANK
TXN1099,TXN1100,EXACT_MATCH
NONE,TXN1101,DUPLICATE_ENTRY
TXN1102,TXN1103,EXACT_MATCH
NONE,TXN1104,DUPLICATE_ENTRY
TXN1105,TXN1106,EXACT_MATCH
NONE,TXN1107,DUPLICATE_ENTRY
TXN1108,TXN1109,EXACT_MATCH
NONE,TXN1110,DUPLICATE_ENTRY
TXN1111,TXN1112,EXACT_MATCH
NONE,TXN1113,DUPLICATE_ENTRY
TXN1114,TXN1115+TXN1116,ONE_TO_MANY_SPLIT
TXN1117,TXN1118+TXN1119,ONE_TO_MANY_SPLIT
TXN1120,TXN1121+TXN1122,ONE_TO_MANY_SPLIT
TXN1123,TXN1124+TXN1125,ONE_TO_MANY_SPLIT
TXN1126,NONE,MISSING_FROM_LEDGER
NONE,TXN1127,MISSING_FROM_BANK
TXN1128,NONE,MISSING_FROM_LEDGER
NONE,TXN1129,MISSING_FROM_BANK
TXN1130,NONE,MISSING_FROM_LEDGER
NONE,TXN1131,MISSING_FROM_BANK
TXN1132,NONE,MISSING_FROM_LEDGER
NONE,TXN1133,MISSING_FROM_BANK
TXN1134,NONE,MISSING_FROM_LEDGER
NONE,TXN1135,MISSING_FROM_BANK
